Title,Primary Image URL,Availability,Roast Type,Flavour Notes,Vendor,Product Type,Variant Part 1,Variant Part 2,Variant Price,Variant Availability
Coffee Blend - Raja Pisang,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_7.png?v=1737473500,Available,espresso,Banana | Chocolate | Nougat | Yellow Florals,Parchmen & Co,Specialty Coffee,1kg,Whole Beans,55.00,Available
Coffee Blend - Cinnamon Donut,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_3.png?v=1737470182,Available,,Cinnamon | Spices | Sweet Chocolate | Blueberries,Parchmen & Co,Specialty Coffee,150g,Whole Beans,12.00,Available
Coffee Blend - Cinnamon Donut,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_3.png?v=1737470182,Available,,Cinnamon | Spices | Sweet Chocolate | Blueberries,Parchmen & Co,Specialty Coffee,250g,Whole Beans,19.00,Available
Coffee Blend - Cinnamon Donut,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_3.png?v=1737470182,Available,,Cinnamon | Spices | Sweet Chocolate | Blueberries,Parchmen & Co,Specialty Coffee,500g,Whole Beans,36.00,Available
Coffee Blend - Cinnamon Donut,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_3.png?v=1737470182,Available,,Cinnamon | Spices | Sweet Chocolate | Blueberries,Parchmen & Co,Specialty Coffee,1kg,Whole Beans,54.00,Available
Coffee Blend - Half-Time Half Decaf Blend,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_23.png?v=1721549183,Available,,Chocolate | Caramel | Almond,"Chocolate, Sweet Caramel Almonds",Decaf Coffee,150g,Whole Beans,12.00,Available
Coffee Blend - Half-Time Half Decaf Blend,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_23.png?v=1721549183,Available,,Chocolate | Caramel | Almond,"Chocolate, Sweet Caramel Almonds",Decaf Coffee,250g,Whole Beans,18.00,Available
Coffee Blend - Half-Time Half Decaf Blend,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_23.png?v=1721549183,Available,,Chocolate | Caramel | Almond,"Chocolate, Sweet Caramel Almonds",Decaf Coffee,1kg,Whole Beans,50.00,Available
Ethiopia Sidama Bensa Natural Grade 2,https://cdn.shopify.com/s/files/1/1263/3859/files/2023putuobuddhatea-2025-01-30T104121.894.png?v=1738204919,Available,,Dark Chocolate | Red Fruits | Beer Hops,Parchmen & Co,Specialty Coffee,50g,Whole Beans,6.00,Available
Ethiopia Sidama Bensa Natural Grade 2,https://cdn.shopify.com/s/files/1/1263/3859/files/2023putuobuddhatea-2025-01-30T104121.894.png?v=1738204919,Available,,Dark Chocolate | Red Fruits | Beer Hops,Parchmen & Co,Specialty Coffee,150g,Whole Beans,15.00,Available
Ethiopia Sidama Bensa Natural Grade 2,https://cdn.shopify.com/s/files/1/1263/3859/files/2023putuobuddhatea-2025-01-30T104121.894.png?v=1738204919,Available,,Dark Chocolate | Red Fruits | Beer Hops,Parchmen & Co,Specialty Coffee,250g,Whole Beans,20.00,Available
Ethiopia Sidama Bensa Natural Grade 2,https://cdn.shopify.com/s/files/1/1263/3859/files/2023putuobuddhatea-2025-01-30T104121.894.png?v=1738204919,Available,,Dark Chocolate | Red Fruits | Beer Hops,Parchmen & Co,Specialty Coffee,1000g,Whole Beans,54.00,Available
Brazil Minas Gerais Volcanic Peaberries,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_15.png?v=1721543801,Available,espresso,Caramel | Honey | Sweet Orange | Maple | Nuts,Parchmen & Co,Specialty Coffee,250g,Whole Beans,19.00,Available
Brazil Minas Gerais Volcanic Peaberries,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_15.png?v=1721543801,Available,espresso,Caramel | Honey | Sweet Orange | Maple | Nuts,Parchmen & Co,Specialty Coffee,500g,Whole Beans,36.00,Available
Brazil Minas Gerais Volcanic Peaberries,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_15.png?v=1721543801,Available,espresso,Caramel | Honey | Sweet Orange | Maple | Nuts,Parchmen & Co,Specialty Coffee,1kg,Whole Beans,53.00,Available
Brazil Mogiana,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_33.png?v=1722259852,Available,espresso,Vanilla | Milk | Berries,Parchmen & Co,Specialty Coffee,250g,Whole Beans,19.00,Available
Brazil Mogiana,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_33.png?v=1722259852,Available,espresso,Vanilla | Milk | Berries,Parchmen & Co,Specialty Coffee,500g,Whole Beans,36.00,Available
Brazil Mogiana,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_33.png?v=1722259852,Available,espresso,Vanilla | Milk | Berries,Parchmen & Co,Specialty Coffee,1kg,Whole Beans,53.00,Available
Asman Arianto Ribang Gayo Musara,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_41.png?v=1729095746,Available,espresso,Berries |,Parchmen & Co,Specialty Coffee,50g,Whole Beans,10.00,Available
Asman Arianto Ribang Gayo Musara,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_41.png?v=1729095746,Available,espresso,Berries |,Parchmen & Co,Specialty Coffee,100g,Whole Beans,18.00,Available
Asman Arianto Ribang Gayo Musara,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_41.png?v=1729095746,Available,espresso,Berries |,Parchmen & Co,Specialty Coffee,200g,Whole Beans,30.00,Available
Diofanor Ruiz La Divisa,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_24.png?v=1721549630,Available,,Lime | Berries and Currants | Chrysanthemum,Parchmen & Co,Specialty Coffee,50g,Whole Beans,6.00,Available
Diofanor Ruiz La Divisa,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_24.png?v=1721549630,Available,,Lime | Berries and Currants | Chrysanthemum,Parchmen & Co,Specialty Coffee,150g,Whole Beans,14.00,Available
Diofanor Ruiz La Divisa,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_24.png?v=1721549630,Available,,Lime | Berries and Currants | Chrysanthemum,Parchmen & Co,Specialty Coffee,250g,Whole Beans,22.00,Available
Diofanor Ruiz La Divisa,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_24.png?v=1721549630,Available,,Lime | Berries and Currants | Chrysanthemum,Parchmen & Co,Specialty Coffee,500g,Whole Beans,35.00,Available
