Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Availability,Roast Type
Coffee Blend - Cinnamon Donut,1000,Parchmen & Co,60,Cinnamon | Spices | Sweet Chocolate | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_3.png?v=1737470182,Available,
Coffee Blend - Cinnamon Donut,500,Parchmen & Co,36,Cinnamon | Spices | Sweet Chocolate | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_3.png?v=1737470182,Available,
Coffee Blend - Cinnamon Donut,250,Parchmen & Co,19,Cinnamon | Spices | Sweet Chocolate | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_3.png?v=1737470182,Available,
Coffee Blend - Half-Time Half Decaf Blend,150,Parchmen & Co,12,Chocolate | Caramel | Almond,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_23.png?v=1721549183,Available,
Coffee Blend - Half-Time Half Decaf Blend,1000,Parchmen & Co,50,Chocolate | Caramel | Almond,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_23.png?v=1721549183,Available,
Coffee Blend - Half-Time Half Decaf Blend,250,Parchmen & Co,18,Chocolate | Caramel | Almond,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_23.png?v=1721549183,Available,
Coffee Blend - Lychee Breeze,150,Parchmen & Co,14,Lychee | Chocolates | Floral | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_6.png?v=1737473307,Available,espresso
Coffee Blend - Lychee Breeze,250,Parchmen & Co,21,Lychee | Chocolates | Floral | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_6.png?v=1737473307,Available,espresso
Coffee Blend - Lychee Breeze,1000,Parchmen & Co,60,Lychee | Chocolates | Floral | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_6.png?v=1737473307,Available,espresso
Coffee Blend - Momotarō,1000,Parchmen & Co,60,Peaches | Chocolates | Caramel,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_2.png?v=1737470142,Available,espresso
Coffee Blend - Momotarō,150,Parchmen & Co,14,Peaches | Chocolates | Caramel,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_2.png?v=1737470142,Available,espresso
Coffee Blend - Momotarō,250,Parchmen & Co,21,Peaches | Chocolates | Caramel,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_2.png?v=1737470142,Available,espresso
Coffee Blend - Raja Pisang,150,Parchmen & Co,14,Banana | Chocolate | Nougat | Yellow Florals,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_7.png?v=1737473500,Available,espresso
Coffee Blend - Raja Pisang,1000,Parchmen & Co,60,Banana | Chocolate | Nougat | Yellow Florals,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_7.png?v=1737473500,Available,espresso
Coffee Blend - Raja Pisang,500,Parchmen & Co,38,Banana | Chocolate | Nougat | Yellow Florals,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_7.png?v=1737473500,Available,espresso
Coffee Blend - Raja Pisang,250,Parchmen & Co,21,Banana | Chocolate | Nougat | Yellow Florals,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_7.png?v=1737473500,Available,espresso
Coffee Blend - Strawberry Glory,1000,Parchmen & Co,60,Strawberry | Chocolates | Floral | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_1_52cf92f4-68be-4b82-b7e0-b15821fa62fa.png?v=1737470100,Available,espresso
Coffee Blend - Strawberry Glory,500,Parchmen & Co,38,Strawberry | Chocolates | Floral | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_1_52cf92f4-68be-4b82-b7e0-b15821fa62fa.png?v=1737470100,Available,espresso
Coffee Blend - Strawberry Glory,150,Parchmen & Co,14,Strawberry | Chocolates | Floral | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_1_52cf92f4-68be-4b82-b7e0-b15821fa62fa.png?v=1737470100,Available,espresso
Coffee Blend - Strawberry Glory,250,Parchmen & Co,22,Strawberry | Chocolates | Floral | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_1_52cf92f4-68be-4b82-b7e0-b15821fa62fa.png?v=1737470100,Available,espresso
Cofinet Cinnamon Co-fermentation Coffee,50,Parchmen & Co,8.5,Strawberry | Cinnamon | Cacao | Spices | Floral | Sweet Chocolate,Unknown,Colombia,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_44.png?v=1733378489,Available,
Cofinet Cinnamon Co-fermentation Coffee,250,Parchmen & Co,25,Strawberry | Cinnamon | Cacao | Spices | Floral | Sweet Chocolate,Unknown,Colombia,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_44.png?v=1733378489,Available,
Cofinet Cinnamon Co-fermentation Coffee,150,Parchmen & Co,19,Strawberry | Cinnamon | Cacao | Spices | Floral | Sweet Chocolate,Unknown,Colombia,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_44.png?v=1733378489,Available,
Colombia Popayán Reserve,250,Parchmen & Co,18,Tangerine | Stone Fruits | Cocoa Nibs,Unknown,Colombia,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2023putuobuddhatea-2025-01-30T120257.165.png?v=1738209805,Available,
